LootTableID;AND/OR;LuckSafe;Conditions;UseLevelGS;HWMMult;GSBonus;MaxRoll;Item1;GearScoreRange1;PerkBucketOverrides1;Item2;GearScoreRange2;PerkBucketOverrides2;Item3;GearScoreRange3;PerkOverrides3;Item4;GearScoreRange4;PerkOverrides4;Item5;GearScoreRange5;PerkOverrides5;Item6;GearScoreRange6;PerkOverrides6;Item7;GearScoreRange7;PerkOverrides7;Item8;GearScoreRange8;PerkOverrides8;Item9;GearScoreRange9;PerkOverrides9;Item10;GearScoreRange10;PerkOverrides10;Item11;GearScoreRange11;PerkOverrides11;Item12;GearScoreRange12;PerkOverrides12;Item13;GearScoreRange13;PerkOverrides13;Item14;GearScoreRange14;PerkOverrides14;Item15;GearScoreRange15;PerkOverrides15;Item16;GearScoreRange16;PerkOverrides16;Item17;GearScoreRange17;PerkOverrides17;Item18;GearScoreRange18;PerkOverrides18;Item19;GearScoreRange19;PerkOverrides19;Item20;GearScoreRange20;PerkOverrides20;Item21;GearScoreRange21;PerkOverrides21;Item22;GearScoreRange22;PerkOverrides22;Item23;GearScoreRange23;PerkOverrides23;Item24;GearScoreRange24;PerkOverrides24;Item25;GearScoreRange25;PerkOverrides25;Item26;GearScoreRange26;PerkOverrides26;Item27;GearScoreRange27;PerkOverrides27;Item28;GearScoreRange28;PerkOverrides28;Item29;GearScoreRange29;PerkOverrides29;Item30;GearScoreRange30;PerkOverrides30;Item31;GearScoreRange31;PerkOverrides31;Item32;GearScoreRange32;PerkOverrides32;Item33;GearScoreRange33;PerkOverrides33
WinterTreeLarge;AND;;;;0;0;0;WoodT2;;;FOCDEXBonusT1;;;[LTID]LoggingResources;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WinterTreeLarge_Qty;;;;;0;0;0;12-18;;;0-1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WinterTreeLarge_Probs;;;;;0;0;100000;0;;;92000;;;101000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WyrdwoodTreeTiny;AND;;;;0;0;0;WoodT4;;;FOCDEXBonusT1;;;[LTID]WyrdwoodLoggingResources;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WyrdwoodTreeTiny_Qty;;;;;0;0;0;6-10;;;0-1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WyrdwoodTreeTiny_Probs;;;;;0;0;100000;0;;;95000;;;101450;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WyrdwoodTreeSmall;AND;;;;0;0;0;WoodT4;;;FOCDEXBonusT1;;;[LTID]WyrdwoodLoggingResources;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WyrdwoodTreeSmall_Qty;;;;;0;0;0;11-17;;;0-1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WyrdwoodTreeSmall_Probs;;;;;0;0;100000;0;;;94000;;;101450;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WyrdwoodTreeMedium;AND;;;;0;0;0;WoodT4;;;FOCDEXBonusT1;;;[LTID]WyrdwoodLoggingResources;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WyrdwoodTreeMedium_Qty;;;;;0;0;0;18-24;;;0-1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WyrdwoodTreeMedium_Probs;;;;;0;0;100000;0;;;93000;;;101450;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WyrdwoodTreeLarge;AND;;;;0;0;0;WoodT4;;;FOCDEXBonusT1;;;[LTID]WyrdwoodLoggingResources;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WyrdwoodTreeLarge_Qty;;;;;0;0;0;25-32;;;0-1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WyrdwoodTreeLarge_Probs;;;;;0;0;100000;0;;;92000;;;101450;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WyrdwoodTreeHuge;AND;;;;0;0;0;WoodT4;;;FOCDEXBonusT1;;;[LTID]WyrdwoodLoggingResources;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WyrdwoodTreeHuge_Qty;;;;;0;0;0;33-40;;;0-1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WyrdwoodTreeHuge_Probs;;;;;0;0;100000;0;;;91000;;;101450;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IronwoodTreeTiny;AND;;;;0;0;0;WoodT5;;;FOCDEXBonusT1;;;[LTID]IronwoodLoggingResources;;;[LTID]IronwoodLoggingResourcesT51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IronwoodTreeTiny_Qty;;;;;0;0;0;6-10;;;0-1;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IronwoodTreeTiny_Probs;;;;;0;0;100000;0;;;95000;;;101800;;;101800;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IronwoodTreeSmall;AND;;;;0;0;0;WoodT5;;;FOCDEXBonusT1;;;[LTID]IronwoodLoggingResources;;;[LTID]IronwoodLoggingResourcesT51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IronwoodTreeSmall_Qty;;;;;0;0;0;11-17;;;0-1;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IronwoodTreeSmall_Probs;;;;;0;0;100000;0;;;94000;;;101800;;;101800;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IronwoodTreeMedium;AND;;;;0;0;0;WoodT5;;;FOCDEXBonusT1;;;[LTID]IronwoodLoggingResources;;;[LTID]IronwoodLoggingResourcesT51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IronwoodTreeMedium_Qty;;;;;0;0;0;18-24;;;0-1;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IronwoodTreeMedium_Probs;;;;;0;0;100000;0;;;93000;;;101800;;;101800;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IronwoodTreeLarge;AND;;;;0;0;0;WoodT5;;;FOCDEXBonusT1;;;[LTID]IronwoodLoggingResources;;;[LTID]IronwoodLoggingResourcesT51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IronwoodTreeLarge_Qty;;;;;0;0;0;25-32;;;0-1;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IronwoodTreeLarge_Probs;;;;;0;0;100000;0;;;92000;;;101800;;;101800;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IronwoodTreeHuge;AND;;;;0;0;0;WoodT5;;;FOCDEXBonusT1;;;[LTID]IronwoodLoggingResources;;;[LTID]IronwoodLoggingResourcesT51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IronwoodTreeHuge_Qty;;;;;0;0;0;33-40;;;0-1;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IronwoodTreeHuge_Probs;;;;;0;0;100000;0;;;91000;;;101800;;;101800;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LoggingResources;OR;;;;0;0;0;[LTID]Sap;;;[LTID]Resin;;;PetrifiedWoodT1;;;WhisperwoodT1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LoggingResources_Qty;;;;;0;0;0;1;;;1;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LoggingResources_Probs;;;;;0;0;100000;85000;;;85000;;;95000;;;98000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WyrdwoodLoggingResources;OR;;;;0;0;0;[LTID]WyrdwoodSap;;;[LTID]WyrdwoodResin;;;WhisperwoodT1;;;QuillbarkT1;;;EbonwoodT1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WyrdwoodLoggingResources_Qty;;;;;0;0;0;1;;;1;;;1;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WyrdwoodLoggingResources_Probs;;;;;0;0;100000;85000;;;85000;;;97000;;;97000;;;97000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IronwoodLoggingResources;OR;;;;0;0;0;[LTID]IronwoodSap;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IronwoodLoggingResources_Qty;;;;;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IronwoodLoggingResources_Probs;;;;;0;0;100000;85000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IronwoodLoggingResourcesT51;OR;;;;0;0;0;WildwoodT1;;;BarbvineT1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IronwoodLoggingResourcesT51_Qty;;;;;0;0;0;3-8;;;3-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IronwoodLoggingResourcesT51_Probs;;;;;0;0;100000;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sap;OR;;;;0;0;0;SapT1;;;SapT2;;;SapT3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sap_Qty;;;;;0;0;0;1;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sap_Probs;;;;;0;0;100000;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WyrdwoodSap;OR;;;;0;0;0;WyrdwoodSapT1;;;WyrdwoodSapT2;;;WyrdwoodSapT3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WyrdwoodSap_Qty;;;;;0;0;0;1;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WyrdwoodSap_Probs;;;;;0;0;100000;0;;;55000;;;90000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IronwoodSap;OR;;;;0;0;0;IronwoodSapT3;;;IronwoodResinT2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IronwoodSap_Qty;;;;;0;0;0;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IronwoodSap_Probs;;;;;0;0;100000;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WyrdwoodResin;OR;;;;0;0;0;WyrdwoodResinT1;;;WyrdwoodResinT2;;;WyrdwoodResinT3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WyrdwoodResin_Qty;;;;;0;0;0;1;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WyrdwoodResin_Probs;;;;;0;0;100000;0;;;55000;;;90000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
